"자치구(1)",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"자치구(1)",합계,합계,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,한부모가족지원법 수급자,국민기초생활보장법 수급자,국민기초생활보장법 수급자,국가보훈법 수급자,국가보훈법 수급자
"자치구(1)",합계,합계,합계,합계,재가보호,재가보호,시설보호,시설보호,미보호,미보호,국민기초생활보장법 수급자,국민기초생활보장법 수급자,국가보훈법 수급자,국가보훈법 수급자
"자치구(1)",가구수,가구원수,가구수,가구원수,가구수,가구원수,가구수,가구원수,가구수,가구원수,가구수,가구원수,가구수,가구원수
"계",31425,72671,6140,20501,6068,20429,72,72,-,-,25285,52170,-,-
"종로구",334,763,114,332,112,330,2,2,-,-,220,431,-,-
"중구",360,813,94,313,94,313,-,-,-,-,266,500,-,-
"용산구",586,1239,116,341,116,341,-,-,-,-,470,898,-,-
"성동구",750,1691,159,513,147,501,12,12,-,-,591,1178,-,-
"광진구",1218,2862,252,871,252,871,-,-,-,-,966,1991,-,-
"동대문구",1130,2658,208,758,208,758,-,-,-,-,922,1900,-,-
"중랑구",2228,5178,434,1479,432,1477,2,2,-,-,1794,3699,-,-
"성북구",1406,3242,271,902,263,894,8,8,-,-,1135,2340,-,-
"강북구",1828,4266,349,1210,349,1210,-,-,-,-,1479,3056,-,-
"도봉구",1624,3838,321,1168,319,1166,2,2,-,-,1303,2670,-,-
"노원구",2546,5825,339,1219,339,1219,-,-,-,-,2207,4606,-,-
"은평구",2077,4789,366,1244,364,1242,2,2,-,-,1711,3545,-,-
"서대문구",960,2216,250,758,250,758,-,-,-,-,710,1458,-,-
"마포구",860,1938,202,594,198,590,4,4,-,-,658,1344,-,-
"양천구",1512,3553,254,948,254,948,-,-,-,-,1258,2605,-,-
"강서구",2116,4952,448,1461,448,1461,-,-,-,-,1668,3491,-,-
"구로구",1337,2987,327,940,291,904,36,36,-,-,1010,2047,-,-
"금천구",1168,2642,246,798,244,796,2,2,-,-,922,1844,-,-
"영등포구",653,1467,154,497,152,495,2,2,-,-,499,970,-,-
"동작구",933,2133,148,519,148,519,-,-,-,-,785,1614,-,-
"관악구",1445,3321,270,906,270,906,-,-,-,-,1175,2415,-,-
"서초구",530,1259,121,377,121,377,-,-,-,-,409,882,-,-
"강남구",895,2090,129,431,129,431,-,-,-,-,766,1659,-,-
"송파구",1648,3945,300,1041,300,1041,-,-,-,-,1348,2904,-,-
"강동구",1281,3004,268,881,268,881,-,-,-,-,1013,2123,-